Progulon_ID,med_RNA_RNA_PCC,med_pro_pro_PCC,med_RNA_pro_PCC,p_PCORvsRCOR,p_RNAtoPRO,prn_function,med_mRNA_mad,med_prot_mad
PRN21,0.062886272594272,0.631837650078416,0.104739364101659,0,9.99900009999e-05,ATP synthase,0.316793154215312,0.23997287601985
PRN22,0.0834891931584578,0.198202637825897,0.288095746719064,2.80992961776788e-171,9.99900009999e-05,Condensin,0.498710884701592,0.488273814633505
PRN23,0.0417895599318329,0.446984451274361,0.151251704060757,0,0.61033896610339,"ETC, complex IV",0.337796832810219,0.282786111865948
PRN24,0.0156561402570898,0.0428441623779605,0.389718717771161,1.74028102477125e-09,9.99900009999e-05,Cytoskeleton remodelling,0.483976612251032,0.433126947368294
PRN25,0.0683574846434234,0.533119523871792,0.178656390502973,0,0.395360463953605,ER membrane,0.32346710972247,0.253425896119712
PRN26,0.143497770169969,0.660392011569562,0.328071407828768,0,9.99900009999e-05,Protein folding in ER,0.343424013708455,0.304659247100267
PRN27,0.0968016204730255,0.393399672061633,0.12394119423617,0,9.99900009999e-05,Exosome,0.31642290609795,0.152580056809854
PRN28,0.0672598813240128,0.415743983333143,0.0957109319398212,0,9.99900009999e-05,"Splicing, U1/U2 (b)",0.288209432185541,0.130609488551625
PRN29,0.279336468951103,0.80246523808729,0.208482304623125,2.07470610547138e-10,0.745025497450255,Nucleosome,0.791191973182337,0.269815789409723
PRN30,0.186882921545383,0.468628467820789,0.0962831458685893,4.54584568614852e-41,0.0054994500549945,"Protein folding, TRiC",0.289267955442573,0.105473441867006
PRN31,0.0174057904566543,0.0738005574952839,0.158844750516606,0,0.128687131286871,14-3-3 proteins,0.322986594079105,0.192442195971716
PRN32,0.386660320323885,0.657256122390894,0.230952547818951,1.00705009689068e-143,0.23977602239776,"DNA replication, MCM",0.415610413951953,0.309444499347268
PRN33,0.0745233375664848,0.274052634080873,0.231877982227891,0,9.99900009999e-05,"DNA replication, RFC",0.391556183870011,0.319952196046999
PRN34,0.102192155406829,0.399790841452764,0.0527751518705659,0,9.99900009999e-05,mito. 39S ribosome (b),0.327661791605056,0.210295434200667
PRN35,0.0452403311924104,0.352644511198586,0.159473806660467,0,0.194580541945805,Rab GTPases,0.328049950550956,0.221949493455973
PRN36,0.0164611787942588,0.0644946304659558,0.149961153396767,0,0.0515948405159484,"Vesicular transport, AP-1",0.32581902945797,0.205600728069163
PRN37,0.00816458211626223,0.0165489666353845,0.122374115719358,4.12561093790286e-41,9.99900009999e-05,COP9 signalosome,0.307532189488456,0.148457808794446
PRN38,0.0976044693014164,0.24978192203455,0.0796881230967202,0,9.99900009999e-05,"Splicing, Sm",0.295725201860967,0.125255356109111
PRN39,0.0795752381925227,0.332576779005438,0.112981142019235,0,9.99900009999e-05,mito. 28S ribosome (a),0.316953567100366,0.216621002214857
PRN40,0.30415953578661,0.694421186562108,-0.083060493381979,8.95023424630059e-186,9.99900009999e-05,mito. 39S ribosome (a),0.314664349276731,0.188938443810647
PRN41,0.0713635238430677,0.157501890507602,0.294185846711027,2.26510135303551e-174,9.99900009999e-05,"DNA replication, GINS",0.50078153117067,0.508321769322329
