Gene stable ID,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Strand,UniProtKB/Swiss-Prot ID
ENSG00000170385,211571568,211578742,1,-1,Q9Y6M5
ENSG00000082512,211326615,211374946,1,1,O00463
ENSG00000132698,156061160,156070514,1,1,P57735
ENSG00000143450,151762899,151771334,1,1,Q9UMX2
ENSG00000188396,44805913,44806675,1,-1,Q5JR98
ENSG00000117479,169463909,169486003,1,-1,O60779
ENSG00000159023,28887091,29120046,1,1,P11171
ENSG00000162366,47183593,47191044,1,-1,Q13113
ENSG00000142945,44739818,44767767,1,1,Q99661
ENSG00000081692,227730425,227735411,1,-1,Q9H9V9
ENSG00000136631,150067293,150145327,1,1,Q9NRW7
ENSG00000120656,28589323,28643085,1,-1,Q16514
ENSG00000116205,54053587,54112519,1,1,Q96MN5
ENSG00000121644,244652935,244709033,1,1,Q9BSY9
ENSG00000132185,161706972,161714352,1,1,Q7L513
ENSG00000053371,19303965,19312146,1,-1,O43488
ENSG00000173627,183646404,183653316,1,-1,Q8WW27
ENSG00000175756,1373730,1375495,1,-1,Q9NWT8
ENSG00000198198,43389882,43454247,1,1,Q5T011
ENSG00000154370,228393673,228406840,1,-1,Q96F44
ENSG00000031698,109213918,109238169,1,1,P49591
ENSG00000196539,248473351,248474307,1,1,Q8NH03
ENSG00000162551,21509372,21578412,1,1,P05186
ENSG00000198128,248046836,248063407,1,1,Q8NG85
ENSG00000067704,220094102,220148041,1,1,Q9NSE4
ENSG00000197454,248013660,248024276,1,1,Q8NG80
ENSG00000263353,120889746,120890405,1,1,Q9Y536
ENSG00000221888,247754846,247760556,1,-1,Q15619
ENSG00000171729,15152532,15220480,1,1,Q9NW97
ENSG00000159479,43383917,43389808,1,-1,Q96G25
ENSG00000204480,13369067,13371693,1,-1,Q5SWL8
ENSG00000117222,205086142,205122015,1,-1,Q15291
ENSG00000270601,13254212,13263314,1,1,Q5TYX0
ENSG00000070785,44850522,44986722,1,-1,Q9NR50
ENSG00000162434,64833229,64966504,1,-1,P23458
ENSG00000174529,205083129,205084460,1,-1,Q6P7N7
ENSG00000066027,212285537,212361863,1,1,Q15172
ENSG00000132716,160215715,160262531,1,-1,Q5TAQ9
ENSG00000076356,208022242,208244320,1,-1,O75051
ENSG00000158710,159918107,159925732,1,-1,P37802
ENSG00000143125,110451200,110457354,1,1,P58294
ENSG00000171806,169792529,169794966,1,-1,O95568
ENSG00000174307,201464383,201469237,1,-1,Q9Y5J5
ENSG00000168243,235547687,235650754,1,-1,P50150
ENSG00000169242,155127460,155134857,1,1,P20827
ENSG00000243364,155063731,155069553,1,1,P52798
ENSG00000117419,44221070,44355260,1,-1,O43414
ENSG00000143799,226360691,226408079,1,-1,P09874
ENSG00000168765,109656081,109674836,1,1,Q03013
ENSG00000178585,9848276,9910336,1,-1,Q9NSA3
ENSG00000203668,241628853,241640254,1,-1,P26374
ENSG00000117009,241532134,241595642,1,1,O15229
ENSG00000150337,149782671,149792518,1,1,P12314
ENSG00000116209,54026681,54053504,1,-1,Q9BXS4
ENSG00000162843,241652278,241802133,1,1,B1ANS9
ENSG00000125703,62784135,62865513,1,1,Q96DT6
ENSG00000188004,159834474,159855347,1,-1,Q5VU13
ENSG00000263464,149583865,149584464,1,1,A0A0B4J2A2
ENSG00000162517,31629862,31644896,1,-1,Q9UBV8
ENSG00000158714,159826750,159837249,1,1,Q9P0V8
ENSG00000121764,31617686,31632518,1,1,O43613
ENSG00000162391,54609182,54623556,1,-1,Q8WW52
ENSG00000079277,46557408,46616843,1,-1,Q9BUB5
ENSG00000117450,45511036,45523047,1,-1,Q06830
ENSG00000143502,223220819,223364202,1,-1,Q5VX71
ENSG00000158615,204403387,204411791,1,-1,Q5SWA1
ENSG00000188783,203475828,203491352,1,1,P51888
ENSG00000143318,160190556,160201886,1,1,P31415
ENSG00000085552,159927039,159945604,1,-1,Q9P2J2
ENSG00000143473,210676823,211134180,1,-1,O95259
ENSG00000159658,46675159,46719064,1,-1,O75071
ENSG00000135778,232950605,232983882,1,1,Q9BSD7
ENSG00000097021,6264269,6394391,1,-1,O00154
ENSG00000143321,156742107,156766925,1,-1,P51858
ENSG00000117020,243488233,243851079,1,-1,Q9Y243
ENSG00000143294,156750610,156800817,1,1,Q92733
ENSG00000092969,218346235,218444619,1,1,P61812
ENSG00000130772,28329002,28335967,1,1,Q9BUE0
ENSG00000203685,226548800,226609214,1,1,Q69YW2
ENSG00000091483,241497603,241519761,1,-1,P07954
ENSG00000065183,117929720,117966542,1,1,Q9UNX4
ENSG00000197587,46506996,46514226,1,1,Q8NFW5
ENSG00000142910,31576485,31587686,1,1,Q9GZM7
ENSG00000213088,159203307,159206500,1,1,Q16570
ENSG00000077254,77695987,77759852,1,-1,Q8TEY7
ENSG00000132763,45500053,45513382,1,1,Q9Y4U1
ENSG00000171608,9651732,9729114,1,1,O00329
ENSG00000135766,231363751,231425044,1,-1,Q9GZT9
ENSG00000143416,151364302,151372733,1,-1,Q13228
ENSG00000188807,9588922,9614873,1,1,Q5SNT2
ENSG00000077157,202348699,202592706,1,1,O60237
ENSG00000152104,214348696,214552449,1,-1,Q15678
ENSG00000133056,204422628,204494724,1,-1,O00750
ENSG00000170498,204190341,204196486,1,-1,Q15726
ENSG00000143476,212035553,212107400,1,1,Q9NZJ0
ENSG00000143669,235661041,235883640,1,-1,Q99698
ENSG00000163518,157573749,157598080,1,-1,Q96PJ5
ENSG00000171357,46203334,46221261,1,1,Q96LR2
ENSG00000085998,46188682,46220305,1,-1,Q8WZA1
ENSG00000116350,29147743,29181987,1,-1,Q08170
ENSG00000122406,92832025,92841924,1,1,P46777
ENSG00000162600,58415384,58546802,1,-1,Q96E52
ENSG00000174175,169588849,169630193,1,-1,P16109
ENSG00000117425,44819844,44843063,1,-1,Q9Y6C5
ENSG00000203666,244969705,245127164,1,1,Q5VUJ9
ENSG00000143382,150549369,150560937,1,1,Q6UY14
ENSG00000143384,150574551,150579738,1,-1,Q07820
ENSG00000187889,56718804,56819696,1,-1,Q5VWT5
ENSG00000117036,157121191,157138474,1,-1,P41162
ENSG00000162409,56645322,56715335,1,1,P54646
ENSG00000162910,228106679,228109312,1,-1,Q7Z7F7
ENSG00000162775,110338506,110346681,1,1,Q96T37
ENSG00000179862,40861051,40862366,1,-1,Q96RK1
ENSG00000187800,156893698,156916434,1,1,Q5VY43
ENSG00000186150,110112468,110113945,1,1,Q8N7F7
ENSG00000143816,227918656,227947898,1,-1,O14904
ENSG00000162402,55066359,55215113,1,-1,Q9UPU5
ENSG00000187048,46929177,46941484,1,-1,Q02928
ENSG00000168710,109984686,110023741,1,1,O43865
ENSG00000215788,6461151,6466195,1,-1,Q93038
ENSG00000070886,22563564,22603594,1,1,P29322
ENSG00000198400,156815640,156881850,1,1,P04629
ENSG00000143375,151510510,151538692,1,1,Q9P2M7
ENSG00000130939,10032832,10181239,1,1,O95155
ENSG00000198625,204516379,204558120,1,1,O15151
ENSG00000188770,203494143,203508864,1,1,Q9UBM4
ENSG00000116977,236518000,236552981,1,1,O00214
ENSG00000159176,201483530,201509456,1,-1,P21291
ENSG00000230667,92074533,92075441,1,-1,P0DME0
ENSG00000159166,201373244,201399915,1,-1,O00515
ENSG00000143178,168281040,168314426,1,1,O60806
ENSG00000172031,92029982,92063536,1,1,Q8IUS5
ENSG00000117594,209686178,209734950,1,1,P28845
ENSG00000179456,244048939,244057476,1,1,Q99592
ENSG00000116584,155946851,156007070,1,-1,Q92974
ENSG00000121904,33513999,34165842,1,-1,Q7Z408
ENSG00000142973,46757838,46819413,1,1,P13584
ENSG00000143314,156737303,156741590,1,-1,Q96A35
ENSG00000203814,149782689,149812373,1,-1,Q5QNW6
ENSG00000132703,159587825,159588865,1,1,P02743
ENSG00000081026,113390749,113685923,1,1,Q5TCQ9
ENSG00000182901,240775515,241357230,1,-1,P49802
ENSG00000160714,154548577,154559028,1,-1,Q7Z7E8
ENSG00000116251,6181269,6209389,1,-1,P35268
ENSG00000171872,44118850,44135140,1,1,Q5JT82
ENSG00000196550,206186179,206204414,1,-1,Q5TYM5
ENSG00000116212,53946077,53968168,1,1,Q9Y546
ENSG00000116514,32936445,32964685,1,-1,Q6ZMZ0
ENSG00000198626,237042205,237833988,1,1,Q92736
ENSG00000119283,231162112,231221556,1,1,Q6ZTA4
ENSG00000143845,204131062,204152003,1,-1,Q9NVF9
ENSG00000117500,93149742,93180728,1,-1,Q9Y3A6
ENSG00000117505,93345888,93369498,1,1,Q01658
ENSG00000134255,111139627,111185102,1,1,Q9Y6K0
ENSG00000143401,150218417,150236156,1,-1,Q9BTT0
ENSG00000162761,165201867,165356715,1,-1,Q8TE12
ENSG00000182827,226144679,226186730,1,-1,Q9H3P7
ENSG00000162706,159171609,159203313,1,1,Q8N126
ENSG00000121769,31365625,31376850,1,-1,P05413
ENSG00000116254,6101793,6180123,1,-1,Q8TDI0
ENSG00000176022,1232265,1235041,1,1,Q96L58
ENSG00000270188,237943724,237945275,1,-1,S4R3Y5
ENSG00000117724,214603195,214664588,1,1,P49454
ENSG00000116996,237877864,237890922,1,-1,Q12836
ENSG00000143061,116574399,116667755,1,-1,O75054
ENSG00000163564,158930796,158977054,1,1,Q6K0P9
ENSG00000117713,26693236,26782104,1,1,O14497
ENSG00000126091,43705824,43931165,1,1,Q11203
ENSG00000137976,84398532,84415018,1,1,Q8WZ79
ENSG00000117707,213983181,214041502,1,1,Q92786
ENSG00000057468,75796882,75913238,1,1,O15457
ENSG00000196581,4654732,4792534,1,1,Q9UKB5
ENSG00000134198,115048011,115089500,1,-1,O60636
ENSG00000142875,84078062,84238498,1,1,P22694
ENSG00000159388,203305491,203309602,1,1,P78543
ENSG00000133048,203178931,203186749,1,-1,P36222
ENSG00000122483,93179919,93278730,1,1,Q5T9S5
ENSG00000064886,111200771,111243440,1,1,Q15782
ENSG00000160856,157674321,157700857,1,-1,Q96P31
ENSG00000186790,47416072,47418052,1,1,Q13461
ENSG00000007908,169722641,169764705,1,-1,P16581
ENSG00000173846,44800225,44805990,1,1,Q9H4B4
ENSG00000160838,156920650,156933094,1,1,Q8N4P6
ENSG00000125944,23303771,23344336,1,-1,O43390
ENSG00000116396,110211343,110283100,1,1,Q03721
ENSG00000143153,169105697,169132722,1,1,P05026
ENSG00000117153,202891100,202928636,1,-1,Q53G59
ENSG00000143801,226870184,226896105,1,1,P49810
ENSG00000178096,149887890,149900798,1,1,Q9Y3E2
ENSG00000203995,52842511,52894998,1,1,Q6WRX3
ENSG00000143479,206635536,206684419,1,1,O43781
ENSG00000196187,225845536,225882369,1,-1,O94886
ENSG00000162702,200404940,200410056,1,-1,Q9Y2X9
ENSG00000143850,204218851,204377665,1,-1,Q9Y2H5
ENSG00000186094,48532855,50023913,1,-1,Q5VU57
ENSG00000269113,47760528,47996895,1,-1,A6NFA1
ENSG00000162368,47333797,47378839,1,1,P30085
ENSG00000177301,110519837,110631474,1,-1,P16389
ENSG00000010803,41027200,41242154,1,-1,Q96GD3
ENSG00000134248,110401249,110407942,1,-1,O43504
ENSG00000132768,43970000,43973369,1,1,Q9BQC3
ENSG00000117322,207454230,207489895,1,1,P20023
ENSG00000186377,47023568,47050751,1,1,Q8N118
ENSG00000163479,156009048,156020959,1,-1,P43308
ENSG00000215906,22953043,22965338,1,-1,A8MY62
ENSG00000152763,66812885,66924887,1,-1,Q5VTH9
ENSG00000142698,34166883,34219131,1,1,Q6P1W5
ENSG00000143184,168576473,168582077,1,1,P47992
ENSG00000143185,168540765,168543997,1,-1,Q9UBD3
ENSG00000159348,202961869,202967280,1,-1,Q9UHQ9
ENSG00000163050,226897536,226987545,1,1,Q8NI60
ENSG00000132780,45583846,45618904,1,1,P49321
ENSG00000173673,6244192,6245578,1,1,Q5TGS1
ENSG00000158292,6247346,6260975,1,-1,Q6NV75
ENSG00000162441,9922113,9943407,1,-1,Q8WZA0
ENSG00000116580,155749662,155859400,1,-1,Q3T8J9
ENSG00000173614,9943428,9985501,1,1,Q9HAN9
ENSG00000121310,52895910,52927212,1,-1,Q86YB7
ENSG00000142224,206798870,206842981,1,1,Q9UHD0
ENSG00000162891,206865354,206869223,1,1,Q9NYY1
ENSG00000117010,40531561,40548169,1,1,Q5T5D7
ENSG00000183598,149813271,149813681,1,-1,Q71DI3
ENSG00000203811,149839538,149841193,1,-1,Q71DI3
ENSG00000270882,149832659,149839767,1,1,P62805
ENSG00000243725,54715822,54742657,1,1,O95801
ENSG00000184313,54641754,54710266,1,1,Q68CQ1
ENSG00000117139,202724491,202809470,1,-1,Q9UGL1
ENSG00000162892,206897443,206904139,1,1,Q13007
ENSG00000142669,26279176,26281522,1,1,Q9H299
ENSG00000169442,26317957,26320523,1,1,P31358
ENSG00000130695,26234153,26279038,1,1,Q6P2H3
ENSG00000188782,26190561,26202968,1,1,Q7RTX7
ENSG00000157064,183248237,183418602,1,-1,Q9BZQ4
ENSG00000116721,12791397,12796628,1,1,O95521
ENSG00000162636,108560089,108644900,1,1,Q5T8I3
ENSG00000049246,7784320,7845177,1,1,P56645
ENSG00000049247,7843083,7853512,1,-1,O95399
ENSG00000117586,173183734,173207313,1,-1,P23510
ENSG00000164011,42846573,42852477,1,1,Q5VV52
ENSG00000058453,16740273,16972979,1,1,Q5TZA2
ENSG00000163155,151159748,151165948,1,-1,Q96S90
ENSG00000177628,155234452,155244699,1,-1,P04062
ENSG00000058668,203626561,203744081,1,1,P23634
ENSG00000122176,203340628,203351489,1,-1,Q06828
ENSG00000143493,211940399,212035542,1,-1,Q9NVH2
ENSG00000117625,211258377,211316385,1,1,Q9P2K3
ENSG00000086619,236215555,236281985,1,-1,Q86YB8
ENSG00000134369,201622885,201826969,1,1,Q8NEY1
ENSG00000160789,156082573,156140089,1,1,P02545
ENSG00000088280,23428563,23484568,1,-1,Q8TDY4
ENSG00000123473,47250139,47314147,1,-1,Q15468
ENSG00000154511,92832737,92961522,1,-1,Q5T7M9
ENSG00000143842,204073115,204127743,1,1,Q9UN79
ENSG00000018625,160115759,160143591,1,1,P50993
ENSG00000186197,236348257,236484914,1,1,Q8WWZ3
ENSG00000162728,160081570,160090563,1,1,Q92806
ENSG00000143653,246724047,246768137,1,1,Q8NBX0
ENSG00000060656,29236516,29326813,1,1,Q92729
ENSG00000177272,110672465,110675033,1,-1,P22001
ENSG00000162367,47216290,47232220,1,-1,P17542
ENSG00000186160,47067488,47118319,1,1,Q86W10
ENSG00000143793,228100726,228105411,1,-1,Q9BU76
ENSG00000159173,201403768,201429866,1,-1,P19237
ENSG00000162365,47137435,47149741,1,1,Q5TCH4
ENSG00000116329,28812142,28871267,1,1,P41143
ENSG00000000457,169849631,169894267,1,-1,Q8IZE3
ENSG00000143369,150508062,150513789,1,1,Q16610
ENSG00000117472,46175073,46185958,1,1,O60635
ENSG00000185888,227815693,227846470,1,1,A1L453
ENSG00000169174,55039548,55064852,1,1,Q8NBP7
ENSG00000188910,34781189,34786369,1,1,O75712
ENSG00000059588,234391313,234479103,1,-1,Q13395
ENSG00000168275,234373456,234384049,1,1,Q5JTJ3
ENSG00000180098,28553085,28578545,1,1,Q9NX07
ENSG00000187513,34792998,34795747,1,1,P35212
ENSG00000117475,169367970,169396540,1,1,Q9H2G9
ENSG00000162396,54756898,54764514,1,-1,Q7L3T8
ENSG00000143367,151540305,151583583,1,1,Q9NNX1
ENSG00000027644,156840063,156859018,1,-1,P14616
ENSG00000198758,109750080,109764027,1,-1,Q8TE67
ENSG00000134201,109712255,109775428,1,1,P46439
ENSG00000232237,201113953,201127184,1,-1,Q7RTU5
ENSG00000134184,109687814,109709039,1,1,P09488
ENSG00000262180,186400572,186401455,1,1,Q9Y5M6
ENSG00000155816,240014348,240475189,1,1,Q9NZ56
ENSG00000143486,206571292,206612463,1,-1,P41214
ENSG00000116809,15941869,15976132,1,-1,Q13105
ENSG00000133019,239386565,239915452,1,1,P20309
ENSG00000163568,159062484,159147096,1,-1,O14862
ENSG00000116830,117060303,117107453,1,1,Q9UNY4
ENSG00000196517,43991500,44031467,1,-1,P48067
ENSG00000116260,180154834,180204030,1,1,O00391
ENSG00000078808,1216908,1232031,1,-1,Q9BRK5
ENSG00000118193,200551497,200620734,1,-1,Q15058
ENSG00000120370,170532129,170553446,1,1,Q5T7V8
ENSG00000203740,170146001,170167790,1,1,Q5VVY1
ENSG00000132122,48295372,48472208,1,-1,Q9NWH7
ENSG00000153207,246839098,246931978,1,-1,Q8WYP5
ENSG00000116752,114567557,114581639,1,-1,O75934
ENSG00000171790,41015597,41023237,1,-1,Q499Z3
ENSG00000197106,110150486,110202202,1,1,Q9H1V8
ENSG00000116133,54849633,54887218,1,-1,Q15392
ENSG00000181450,227563543,227677443,1,1,Q5SXM1
ENSG00000168264,234604269,234609525,1,-1,Q7Z5L9
ENSG00000163125,150363091,150476566,1,1,Q5VT52
ENSG00000203910,92217940,92245813,1,1,Q5VVC0
ENSG00000082497,210232799,210246631,1,1,Q9NUC0
ENSG00000009790,209756032,209782320,1,1,Q9Y228
ENSG00000163346,154944076,154956123,1,-1,Q96AQ6
ENSG00000070831,22052627,22092946,1,1,P60953
ENSG00000183155,202878957,202889135,1,-1,P47224
ENSG00000186118,46668855,46673594,1,1,Q6PEX7
ENSG00000187140,63323041,63325126,1,1,Q9UJU5
ENSG00000184389,33306766,33321098,1,-1,U3KPV4
ENSG00000158716,159780932,159782543,1,1,Q9BVJ7
ENSG00000187942,21812265,21825221,1,1,Q5SZI1
ENSG00000117448,45550543,45570049,1,1,P14550
ENSG00000186510,16018875,16034050,1,1,P51800
ENSG00000143751,225982702,225999331,1,-1,Q6IQ49
ENSG00000163041,226061851,226072001,1,1,P84243
ENSG00000170128,200872955,200874178,1,1,O00155
ENSG00000133063,203212827,203273641,1,-1,Q13231
ENSG00000122180,203083132,203086036,1,-1,P15173
ENSG00000162777,111187174,111204535,1,-1,Q9H6A0
ENSG00000119285,236549005,236604504,1,-1,Q9H583
ENSG00000177807,159998651,160070483,1,-1,P78508
ENSG00000085999,46247688,46278473,1,1,Q92698
ENSG00000175984,114582848,114670422,1,-1,Q68D51
ENSG00000023902,150149183,150164720,1,1,Q53GL0
ENSG00000117155,84643707,84690803,1,-1,Q9Y2D8
ENSG00000143515,154325553,154351307,1,1,P98198
ENSG00000134748,52404564,52420839,1,1,Q8NAV1
ENSG00000065526,15847864,15940460,1,1,Q96T58
ENSG00000116824,116754385,116769228,1,1,P06729
ENSG00000160097,32862268,32872482,1,-1,Q8NAU1
ENSG00000049239,9234775,9271337,1,1,O95479
ENSG00000156097,109539872,109548406,1,1,Q9BZJ8
ENSG00000116497,32816767,32858879,1,1,Q96BU1
ENSG00000154027,77282051,77559969,1,1,Q9Y6K8
ENSG00000135773,230747384,230802003,1,1,O14815
ENSG00000157911,2403964,2413797,1,-1,O60683
ENSG00000151414,198156963,198322420,1,1,Q8TDX7
ENSG00000259823,248718649,248755739,1,-1,Q6UX82
ENSG00000237330,1070966,1074307,1,-1,E7ERA6
ENSG00000189181,248681369,248682304,1,-1,A6ND48
ENSG00000177275,247924889,247935339,1,1,Q8NGZ0
ENSG00000238243,247895587,247896531,1,1,Q7Z3T1
ENSG00000162627,98661701,98760500,1,1,Q9UNH6
ENSG00000053372,19251539,19260128,1,1,Q9UKD2
ENSG00000257315,203795714,203854999,1,1,P86452
ENSG00000132681,160151570,160186977,1,1,Q13733
ENSG00000162729,160091340,160098943,1,-1,Q969P0
ENSG00000162723,159951492,159954254,1,-1,Q96A28
ENSG00000197323,114392777,114511160,1,-1,Q9UPN9
ENSG00000197769,241995490,241999073,1,-1,Q9BXW4
ENSG00000204138,28369582,28500369,1,1,Q8IZ21
ENSG00000219073,21977021,21998642,1,1,P08861
ENSG00000187801,40450102,40463718,1,1,Q9UJL9
ENSG00000116237,6221193,6235972,1,-1,O60725
ENSG00000143858,202590596,202710417,1,-1,Q8N9I0
ENSG00000143811,225919877,225924340,1,-1,Q96C36
ENSG00000134256,117001750,117036476,1,1,Q93033
ENSG00000143341,185734551,186190949,1,1,Q96RW7
ENSG00000263961,206037231,206102459,1,1,Q6ZWK4
ENSG00000154305,222618086,222668012,1,1,Q5JRA6
ENSG00000160050,32200386,32205387,1,1,Q9BUN5
ENSG00000162461,15736405,15741396,1,1,Q6PIV7
ENSG00000203757,158716327,158720720,1,-1,Q8NGY3
ENSG00000135744,230702523,230714297,1,-1,P01019
ENSG00000198841,52032103,52033816,1,-1,Q96EK9
ENSG00000131686,8945867,8975092,1,1,P23280
ENSG00000170382,204617170,204685733,1,-1,O75325
ENSG00000188295,247099962,247104372,1,-1,Q96BR6
ENSG00000197472,246945547,247008093,1,-1,Q8IW36
ENSG00000277462,247036784,247078755,1,-1,Q9BS34
